food,calories_kcal,carbs_g,protein_g,fat_g,serving_size_g,sugar_g,fibre_g,sodium_mg
Tandoori chicken,2092.02197265625,33.663719177246094,234.3299102783203,114.30242156982422,1440.800070446859,22.820819854736328,7.274159908294678,2276.486328125
Butter chicken,377.038818359375,10.306138038635254,30.06371307373047,23.94157600402832,275.20498643967096,6.523510932922363,3.6435909271240234,72.13597869873047
Chicken kebab,903.7341918945312,1.3796099424362183,4.59353494644165,97.73991394042969,123.8999918813486,0.29396000504493713,0.2630550265312195,86.43444061279297
Chilli chicken,769.130859375,11.060751914978027,37.02672576904297,64.06800842285156,386.8199857420786,3.5989439487457275,3.841338872909546,865.4943237304688
Fried chicken with tomato sauce (Fried chicken tamatar ki chutney kay saath),154.72703552246094,3.1020500659942627,14.204200744628906,9.41784954071045,123.74999926849037,1.430649995803833,1.4024499654769897,133.1094970703125
Fish curry (Machli curry),282.2315368652344,9.584249496459961,22.252647399902344,16.99419403076172,253.96999967672494,5.11912727355957,4.789186954498291,469.1173095703125
Fried fish (Indian style) (Tali hui machli),2327.953369140625,19.10586166381836,15.361087799072266,243.49081420898438,353.5000006303014,1.3964375257492065,2.1454999446868896,554.768798828125
Fried fish and Chips (English Style) (Tali hui machli aur chips),4547.57763671875,19.329599380493164,23.44635009765625,486.2894287109375,697.7500338162149,1.1780999898910522,1.989799976348877,507.49139404296875
Tomato fish,4740.806640625,30.75392723083496,23.176738739013672,502.4349670410156,967.9299322674872,13.07140064239502,6.927561283111572,885.344970703125
Baked fish with cheese sauce,403.1422424316406,14.377224922180176,30.552600860595703,24.839200973510742,353.7499894062655,11.379724502563477,0.26930001378059387,741.0181274414062
Fish tikka,41.65233612060547,1.3870999813079834,5.679012775421143,1.4729000329971313,35.50000031199126,0.4192250072956085,0.41813749074935913,178.72007751464844
Tandoori fish,224.2321319580078,5.547125339508057,26.147062301635742,10.845037460327148,233.62500018076165,3.7467875480651855,1.355162501335144,289.5605163574219
"Paneer, apple and pineapple salad",245.0693817138672,21.517549514770508,10.011199951171875,13.062225341796875,257.7500114032301,16.400850296020508,4.2463250160217285,455.26727294921875
Russian salad,363.4295349121094,20.57080078125,13.492199897766113,24.8031005859375,316.50001129906684,5.246099948883057,8.133199691772461,319.9559020996094
Pasta salad,410.70428466796875,27.392099380493164,8.96084976196289,30.026750564575195,215.75000336927874,5.599499702453613,2.0614500045776367,328.6054992675781
Deviled egg,157.44586181640625,3.561500072479248,7.934799671173096,12.325699806213379,159.75000879431965,1.315999984741211,1.839500069618225,187.3697967529297
Hawain salad,682.643798828125,55.909549713134766,16.630325317382812,44.279537200927734,389.5625019336463,20.423099517822266,15.324699401855469,252.8912811279297
Mixed pulse and vegetable salad,141.23410034179688,23.723312377929688,8.047311782836914,1.4219740629196167,169.91999426751565,2.3099889755249023,5.031459331512451,217.1228485107422
Sprouted moong salad ,77.03394317626953,11.17234992980957,4.6645002365112305,1.5054500102996826,203.75000949750552,4.348400115966797,1.9291000366210938,237.1156005859375
Tossed salad,214.68951416015625,16.884300231933594,3.4937000274658203,14.385099411010742,340.99999941544434,5.30810022354126,7.325200080871582,264.2818908691406
Mixed vegetable salad with curd sauce,129.8563995361328,15.1532621383667,9.111512184143066,3.232974052429199,215.41999936330814,4.648488998413086,8.15535831451416,251.30044555664062
Potato salad (Aloo ka salaad),212.1830596923828,26.405500411987305,3.297999858856201,10.376800537109375,235.9999993488406,9.296699523925781,3.117799997329712,295.02520751953125
Waldroff salad,349.4217224121094,27.162900924682617,3.6335999965667725,24.775800704956055,246.50000435268703,20.288299560546875,4.598099708557129,33.076698303222656
Coleslaw,116.98660278320312,8.526000022888184,1.8884999752044678,8.113499641418457,152.49999952070746,5.5269999504089355,3.565499782562256,45.552001953125
Fruit salad (Phalon ka salaad),237.53482055664062,48.51974868774414,2.779249906539917,3.698499917984009,304.0000029709634,29.739500045776367,4.79325008392334,21.604249954223633
Tomato onion raita (Tamatar aur pyaaz ka raita),104.83372497558594,12.580411911010742,6.636936664581299,3.273374080657959,177.6700022661007,10.61863899230957,1.7320340871810913,293.52325439453125
Peanut raita (Mungfali ka raita),184.48048400878906,11.408411979675293,10.53793716430664,11.015374183654785,122.67000701976944,8.716639518737793,2.3185338973999023,289.2962646484375
Sprouted moong raita ,92.9676742553711,9.354412078857422,7.057936668395996,3.33937406539917,152.67000580929343,8.532639503479004,0.24253399670124054,288.854248046875
Bottle gourd raita (Ghiya/Lauki ka raita),85.96467590332031,8.794412612915039,6.07293701171875,3.15437388420105,152.67000002830406,8.012639045715332,1.3025339841842651,287.5842590332031
